X_cm-1,subtracted_Y,subtracted_E,pureMeOH_raw_Y,pureMeOH_raw_E,emptyAlcan_Y,emptyAlcan_E
-5.464409999999999989e+00,1.224623699999999982e+00,4.120305494169212296e-02,1.318999999999999950e+00,4.088239999999999930e-02,9.437629999999999630e-02,5.130410000000000179e-03
-5.343420000000000059e+00,1.230002700000000004e+00,4.130539423018378398e-02,1.328710000000000058e+00,4.097250000000000197e-02,9.870729999999999782e-02,5.233530000000000126e-03
-5.222439999999999749e+00,1.170474999999999932e+00,4.059158613616866557e-02,1.282030000000000003e+00,4.020839999999999831e-02,1.115550000000000014e-01,5.564300000000000322e-03
-5.101460000000000328e+00,1.303504999999999914e+00,4.272835662699420861e-02,1.420679999999999943e+00,4.234860000000000013e-02,1.171750000000000014e-01,5.684060000000000328e-03
-4.980470000000000397e+00,1.442507999999999901e+00,4.469554483306027032e-02,1.559169999999999945e+00,4.433320000000000316e-02,1.166620000000000018e-01,5.679710000000000140e-03
-4.859490000000000087e+00,1.559820999999999902e+00,4.653566649920896914e-02,1.695230000000000015e+00,4.613249999999999990e-02,1.354090000000000016e-01,6.112339999999999961e-03
-4.738509999999999778e+00,1.697839000000000098e+00,4.845154307563795393e-02,1.838680000000000092e+00,4.804830000000000212e-02,1.408409999999999940e-01,6.238020000000000370e-03
-4.617519999999999847e+00,1.809442999999999913e+00,5.022866211765947969e-02,1.980399999999999938e+00,4.975770000000000193e-02,1.709569999999999979e-01,6.862199999999999724e-03
-4.496540000000000425e+00,2.086108000000000295e+00,5.365498055303067476e-02,2.271380000000000177e+00,5.317809999999999898e-02,1.852719999999999922e-01,7.137690000000000354e-03
-4.375560000000000116e+00,2.323421999999999876e+00,5.655413516354838854e-02,2.530699999999999950e+00,5.604900000000000160e-02,2.072779999999999900e-01,7.541869999999999997e-03
-4.254570000000000185e+00,2.591107000000000049e+00,5.991614828261576653e-02,2.837190000000000101e+00,5.935250000000000248e-02,2.460829999999999962e-01,8.199120000000000713e-03
-4.133589999999999876e+00,3.076627999999999918e+00,6.506612039642520329e-02,3.356069999999999887e+00,6.447469999999999590e-02,2.794420000000000237e-01,8.752889999999999282e-03
-4.012609999999999566e+00,3.334573999999999927e+00,6.815059627009950605e-02,3.684909999999999908e+00,6.744310000000000582e-02,3.503359999999999808e-01,9.794489999999999447e-03
-3.891630000000000145e+00,3.981086000000000347e+00,7.470139958595153895e-02,4.428910000000000124e+00,7.387630000000000585e-02,4.478239999999999998e-01,1.107209999999999965e-02
-3.770640000000000214e+00,4.600198999999999927e+00,8.039401601711411438e-02,5.128709999999999880e+00,7.948800000000000310e-02,5.285109999999999530e-01,1.203560000000000046e-02
-3.649659999999999904e+00,5.505633999999999695e+00,8.846530987370133936e-02,6.210560000000000080e+00,8.736309999999999909e-02,7.049260000000000526e-01,1.392119999999999989e-02
-3.528680000000000039e+00,6.312148999999999788e+00,9.519693763693241884e-02,7.181639999999999802e+00,9.393010000000000248e-02,8.694910000000000139e-01,1.547879999999999916e-02
-3.407690000000000108e+00,7.678580000000000183e+00,1.053543194256410243e-01,8.784620000000000317e+00,1.038990000000000052e-01,1.106039999999999912e+00,1.745079999999999895e-02
-3.286709999999999798e+00,9.325720000000000454e+00,1.164994149549258423e-01,1.071589999999999954e+01,1.148409999999999986e-01,1.390179999999999971e+00,1.958719999999999906e-02
-3.165729999999999933e+00,1.128662999999999883e+01,1.284927852682787586e-01,1.301099999999999923e+01,1.266249999999999876e-01,1.724369999999999958e+00,2.182900000000000118e-02
-3.044740000000000002e+00,1.372538999999999909e+01,1.421073181217631654e-01,1.585769999999999946e+01,1.400129999999999986e-01,2.132309999999999928e+00,2.430739999999999984e-02
-2.923760000000000137e+00,1.630631000000000341e+01,1.554479204910763634e-01,1.893230000000000146e+01,1.530920000000000059e-01,2.625989999999999824e+00,2.696099999999999886e-02
-2.802779999999999827e+00,1.996898999999999802e+01,1.724186343341113370e-01,2.326069999999999993e+01,1.697559999999999902e-01,3.291710000000000136e+00,3.018420000000000131e-02
-2.681789999999999896e+00,2.485712000000000188e+01,1.909357235377654727e-01,2.856230000000000047e+01,1.882280000000000064e-01,3.705179999999999918e+00,3.204169999999999935e-02
-2.560810000000000031e+00,3.056137000000000015e+01,2.097450652906046320e-01,3.447769999999999868e+01,2.071340000000000126e-01,3.916329999999999867e+00,3.299239999999999812e-02
-2.439830000000000165e+00,3.788200999999999397e+01,2.311472035292878036e-01,4.192029999999999745e+01,2.286990000000000134e-01,4.038289999999999935e+00,3.355289999999999662e-02
-2.318839999999999790e+00,4.642398000000000025e+01,2.538986194724185963e-01,5.059539999999999793e+01,2.515930000000000111e-01,4.171420000000000350e+00,3.413900000000000268e-02
-2.197859999999999925e+00,5.526066999999999751e+01,2.761341450841601763e-01,5.973479999999999990e+01,2.738570000000000171e-01,4.474129999999999718e+00,3.538940000000000141e-02
-2.076880000000000059e+00,6.431524999999999181e+01,2.973851464920364562e-01,6.912069999999999936e+01,2.951099999999999834e-01,4.805450000000000443e+00,3.671529999999999933e-02
-1.955889999999999906e+00,7.395489999999999498e+01,3.183875810084463298e-01,7.904229999999999734e+01,3.161359999999999726e-01,5.087399999999999700e+00,3.779790000000000233e-02
-1.834910000000000041e+00,8.237873000000000445e+01,3.358621094848450173e-01,8.775790000000000646e+01,3.336020000000000096e-01,5.379170000000000229e+00,3.889809999999999796e-02
-1.713929999999999954e+00,9.166258999999999446e+01,3.538754245893461214e-01,9.727009999999999934e+01,3.516349999999999754e-01,5.607510000000000439e+00,3.975730000000000236e-02
-1.592950000000000088e+00,1.012142000000000053e+02,3.719388819473570251e-01,1.070610000000000070e+02,3.697119999999999851e-01,5.846799999999999997e+00,4.063950000000000201e-02
-1.471959999999999935e+00,1.139900099999999981e+02,3.943845893670923086e-01,1.200109999999999957e+02,3.922180000000000111e-01,6.020990000000000286e+00,4.128249999999999975e-02
-1.350980000000000070e+00,1.281925200000000018e+02,4.183973362477944602e-01,1.343770000000000095e+02,4.162969999999999726e-01,6.184479999999999755e+00,4.187049999999999800e-02
-1.229999999999999982e+00,1.448482700000000136e+02,4.449419227059301929e-01,1.510910000000000082e+02,4.429449999999999776e-01,6.242729999999999890e+00,4.210749999999999910e-02
-1.109010000000000051e+00,1.600582499999999868e+02,4.676048024039637374e-01,1.662599999999999909e+02,4.657149999999999901e-01,6.201749999999999652e+00,4.199750000000000011e-02
-9.880290000000000461e-01,1.722534500000000151e+02,4.851793974318777680e-01,1.784610000000000127e+02,4.833549999999999791e-01,6.207550000000000345e+00,4.203559999999999935e-02
